LINK,WORD,LANGUAGE
surrounding/common_voice_en_511787.opus,surrounding,en
surrounding/common_voice_en_20252837.opus,surrounding,en
surrounding/common_voice_en_519159.opus,surrounding,en
surrounding/common_voice_en_524500.opus,surrounding,en
surrounding/common_voice_en_20893297.opus,surrounding,en
surrounding/common_voice_en_19618200.opus,surrounding,en
surrounding/common_voice_en_20253435.opus,surrounding,en
surrounding/common_voice_en_21573470.opus,surrounding,en
surrounding/common_voice_en_20590437.opus,surrounding,en
surrounding/common_voice_en_132248.opus,surrounding,en
surrounding/common_voice_en_20161900.opus,surrounding,en
surrounding/common_voice_en_583727.opus,surrounding,en
surrounding/common_voice_en_19350022.opus,surrounding,en
surrounding/common_voice_en_19519468.opus,surrounding,en
surrounding/common_voice_en_20221023.opus,surrounding,en
surrounding/common_voice_en_653790.opus,surrounding,en
surrounding/common_voice_en_679615.opus,surrounding,en
surrounding/common_voice_en_19869710.opus,surrounding,en
surrounding/common_voice_en_196739.opus,surrounding,en
surrounding/common_voice_en_21957870.opus,surrounding,en
surrounding/common_voice_en_19641135.opus,surrounding,en
surrounding/common_voice_en_21838698.opus,surrounding,en
surrounding/common_voice_en_655275.opus,surrounding,en
surrounding/common_voice_en_131017.opus,surrounding,en
surrounding/common_voice_en_21974497.opus,surrounding,en
surrounding/common_voice_en_630769.opus,surrounding,en
surrounding/common_voice_en_22185883.opus,surrounding,en
surrounding/common_voice_en_22092573.opus,surrounding,en
surrounding/common_voice_en_19439494.opus,surrounding,en
surrounding/common_voice_en_22048749.opus,surrounding,en
surrounding/common_voice_en_20203157.opus,surrounding,en
surrounding/common_voice_en_21936436.opus,surrounding,en
surrounding/common_voice_en_686814.opus,surrounding,en
surrounding/common_voice_en_21108331.opus,surrounding,en
surrounding/common_voice_en_21252295.opus,surrounding,en
surrounding/common_voice_en_22086277.opus,surrounding,en
surrounding/common_voice_en_114493.opus,surrounding,en
surrounding/common_voice_en_127481.opus,surrounding,en
surrounding/common_voice_en_22213823.opus,surrounding,en
surrounding/common_voice_en_22196751.opus,surrounding,en
surrounding/common_voice_en_582804.opus,surrounding,en
surrounding/common_voice_en_20271.opus,surrounding,en
surrounding/common_voice_en_95312.opus,surrounding,en
surrounding/common_voice_en_19020947.opus,surrounding,en
surrounding/common_voice_en_548175.opus,surrounding,en
surrounding/common_voice_en_222163.opus,surrounding,en
surrounding/common_voice_en_21290.opus,surrounding,en
surrounding/common_voice_en_670910.opus,surrounding,en
surrounding/common_voice_en_495775.opus,surrounding,en
surrounding/common_voice_en_133268.opus,surrounding,en
surrounding/common_voice_en_22046110.opus,surrounding,en
surrounding/common_voice_en_21716138.opus,surrounding,en
surrounding/common_voice_en_21305563.opus,surrounding,en
surrounding/common_voice_en_647217.opus,surrounding,en
surrounding/common_voice_en_18842892.opus,surrounding,en
surrounding/common_voice_en_132224.opus,surrounding,en
surrounding/common_voice_en_18875792.opus,surrounding,en
surrounding/common_voice_en_44822.opus,surrounding,en
surrounding/common_voice_en_22007799.opus,surrounding,en
surrounding/common_voice_en_18962707.opus,surrounding,en
surrounding/common_voice_en_106906.opus,surrounding,en
surrounding/common_voice_en_18999602.opus,surrounding,en
surrounding/common_voice_en_173792.opus,surrounding,en
surrounding/common_voice_en_541674.opus,surrounding,en
surrounding/common_voice_en_154023.opus,surrounding,en
surrounding/common_voice_en_664451.opus,surrounding,en
surrounding/common_voice_en_20279434.opus,surrounding,en
surrounding/common_voice_en_579193.opus,surrounding,en
surrounding/common_voice_en_18882587.opus,surrounding,en
surrounding/common_voice_en_582678.opus,surrounding,en
surrounding/common_voice_en_19605810.opus,surrounding,en
surrounding/common_voice_en_83379.opus,surrounding,en
surrounding/common_voice_en_19696863.opus,surrounding,en
surrounding/common_voice_en_18818793.opus,surrounding,en
surrounding/common_voice_en_19132007.opus,surrounding,en
surrounding/common_voice_en_106045.opus,surrounding,en
surrounding/common_voice_en_19231821.opus,surrounding,en
surrounding/common_voice_en_649275.opus,surrounding,en
surrounding/common_voice_en_523856.opus,surrounding,en
surrounding/common_voice_en_22046573.opus,surrounding,en
surrounding/common_voice_en_19495375.opus,surrounding,en
surrounding/common_voice_en_22312811.opus,surrounding,en
surrounding/common_voice_en_18699705.opus,surrounding,en
surrounding/common_voice_en_506123.opus,surrounding,en
surrounding/common_voice_en_20298172.opus,surrounding,en
surrounding/common_voice_en_630584.opus,surrounding,en
surrounding/common_voice_en_139286.opus,surrounding,en
surrounding/common_voice_en_152938.opus,surrounding,en
surrounding/common_voice_en_108998.opus,surrounding,en
