LINK,WORD,LANGUAGE
gobeithio/common_voice_cy_19032623.opus,gobeithio,cy
gobeithio/common_voice_cy_18246035.opus,gobeithio,cy
gobeithio/common_voice_cy_19229988.opus,gobeithio,cy
gobeithio/common_voice_cy_21560685.opus,gobeithio,cy
gobeithio/common_voice_cy_17840826.opus,gobeithio,cy
gobeithio/common_voice_cy_18232060.opus,gobeithio,cy
gobeithio/common_voice_cy_20571056.opus,gobeithio,cy
gobeithio/common_voice_cy_19008449.opus,gobeithio,cy
gobeithio/common_voice_cy_18265915.opus,gobeithio,cy
gobeithio/common_voice_cy_20184292.opus,gobeithio,cy
gobeithio/common_voice_cy_19384690.opus,gobeithio,cy
gobeithio/common_voice_cy_18242046.opus,gobeithio,cy
gobeithio/common_voice_cy_17807911.opus,gobeithio,cy
gobeithio/common_voice_cy_18938657.opus,gobeithio,cy
gobeithio/common_voice_cy_18197755.opus,gobeithio,cy
gobeithio/common_voice_cy_17843151.opus,gobeithio,cy
gobeithio/common_voice_cy_18261414.opus,gobeithio,cy
gobeithio/common_voice_cy_20561830.opus,gobeithio,cy
gobeithio/common_voice_cy_18186038.opus,gobeithio,cy
gobeithio/common_voice_cy_18214193.opus,gobeithio,cy
gobeithio/common_voice_cy_19464754.opus,gobeithio,cy
gobeithio/common_voice_cy_18157416.opus,gobeithio,cy
gobeithio/common_voice_cy_19379055.opus,gobeithio,cy
gobeithio/common_voice_cy_17304899.opus,gobeithio,cy
gobeithio/common_voice_cy_18232635.opus,gobeithio,cy
gobeithio/common_voice_cy_19876368.opus,gobeithio,cy
gobeithio/common_voice_cy_18183581.opus,gobeithio,cy
gobeithio/common_voice_cy_19367769.opus,gobeithio,cy
gobeithio/common_voice_cy_18248886.opus,gobeithio,cy
gobeithio/common_voice_cy_19362687.opus,gobeithio,cy
gobeithio/common_voice_cy_19064137.opus,gobeithio,cy
gobeithio/common_voice_cy_19449545.opus,gobeithio,cy
gobeithio/common_voice_cy_21376156.opus,gobeithio,cy
gobeithio/common_voice_cy_18994082.opus,gobeithio,cy
gobeithio/common_voice_cy_19856953.opus,gobeithio,cy
gobeithio/common_voice_cy_18109646.opus,gobeithio,cy
gobeithio/common_voice_cy_19009188.opus,gobeithio,cy
gobeithio/common_voice_cy_18165405.opus,gobeithio,cy
gobeithio/common_voice_cy_20405363.opus,gobeithio,cy
gobeithio/common_voice_cy_17775040.opus,gobeithio,cy
gobeithio/common_voice_cy_18131765.opus,gobeithio,cy
gobeithio/common_voice_cy_21319016.opus,gobeithio,cy
gobeithio/common_voice_cy_18228399.opus,gobeithio,cy
gobeithio/common_voice_cy_18114839.opus,gobeithio,cy
gobeithio/common_voice_cy_19328244.opus,gobeithio,cy
gobeithio/common_voice_cy_19511096.opus,gobeithio,cy
gobeithio/common_voice_cy_17675012.opus,gobeithio,cy
gobeithio/common_voice_cy_21495819.opus,gobeithio,cy
gobeithio/common_voice_cy_19015479.opus,gobeithio,cy
gobeithio/common_voice_cy_19344660.opus,gobeithio,cy
gobeithio/common_voice_cy_17769929.opus,gobeithio,cy
gobeithio/common_voice_cy_19029686.opus,gobeithio,cy
gobeithio/common_voice_cy_17935037.opus,gobeithio,cy
gobeithio/common_voice_cy_19007265.opus,gobeithio,cy
gobeithio/common_voice_cy_18234275.opus,gobeithio,cy
gobeithio/common_voice_cy_19038260.opus,gobeithio,cy
gobeithio/common_voice_cy_18156062.opus,gobeithio,cy
gobeithio/common_voice_cy_18249690.opus,gobeithio,cy
gobeithio/common_voice_cy_19368967.opus,gobeithio,cy
gobeithio/common_voice_cy_21310181.opus,gobeithio,cy
gobeithio/common_voice_cy_19562293.opus,gobeithio,cy
gobeithio/common_voice_cy_18947532.opus,gobeithio,cy
gobeithio/common_voice_cy_17807733.opus,gobeithio,cy
gobeithio/common_voice_cy_18228566.opus,gobeithio,cy
gobeithio/common_voice_cy_18109980.opus,gobeithio,cy
gobeithio/common_voice_cy_18670921.opus,gobeithio,cy
gobeithio/common_voice_cy_17882030.opus,gobeithio,cy
gobeithio/common_voice_cy_17769628.opus,gobeithio,cy
gobeithio/common_voice_cy_18168415.opus,gobeithio,cy
gobeithio/common_voice_cy_22371822.opus,gobeithio,cy
gobeithio/common_voice_cy_18222183.opus,gobeithio,cy
gobeithio/common_voice_cy_18122985.opus,gobeithio,cy
gobeithio/common_voice_cy_17797247.opus,gobeithio,cy
gobeithio/common_voice_cy_19464792.opus,gobeithio,cy
gobeithio/common_voice_cy_19444759.opus,gobeithio,cy
gobeithio/common_voice_cy_17771348.opus,gobeithio,cy
gobeithio/common_voice_cy_18184637.opus,gobeithio,cy
gobeithio/common_voice_cy_18993254.opus,gobeithio,cy
gobeithio/common_voice_cy_18201137.opus,gobeithio,cy
gobeithio/common_voice_cy_18131640.opus,gobeithio,cy
gobeithio/common_voice_cy_19055262.opus,gobeithio,cy
gobeithio/common_voice_cy_21376158.opus,gobeithio,cy
gobeithio/common_voice_cy_17732322.opus,gobeithio,cy
gobeithio/common_voice_cy_18936562.opus,gobeithio,cy
gobeithio/common_voice_cy_17777296.opus,gobeithio,cy
gobeithio/common_voice_cy_18997664.opus,gobeithio,cy
gobeithio/common_voice_cy_18156214.opus,gobeithio,cy
gobeithio/common_voice_cy_20854540.opus,gobeithio,cy
gobeithio/common_voice_cy_19562525.opus,gobeithio,cy
gobeithio/common_voice_cy_21282874.opus,gobeithio,cy
gobeithio/common_voice_cy_20857632.opus,gobeithio,cy
gobeithio/common_voice_cy_18138550.opus,gobeithio,cy
gobeithio/common_voice_cy_18214234.opus,gobeithio,cy
gobeithio/common_voice_cy_18894390.opus,gobeithio,cy
gobeithio/common_voice_cy_18183891.opus,gobeithio,cy
gobeithio/common_voice_cy_21281795.opus,gobeithio,cy
gobeithio/common_voice_cy_17775875.opus,gobeithio,cy
gobeithio/common_voice_cy_17317091.opus,gobeithio,cy
gobeithio/common_voice_cy_21444698.opus,gobeithio,cy
gobeithio/common_voice_cy_18121012.opus,gobeithio,cy
gobeithio/common_voice_cy_20349167.opus,gobeithio,cy
gobeithio/common_voice_cy_18923952.opus,gobeithio,cy
gobeithio/common_voice_cy_17771472.opus,gobeithio,cy
gobeithio/common_voice_cy_17768486.opus,gobeithio,cy
gobeithio/common_voice_cy_20666121.opus,gobeithio,cy
gobeithio/common_voice_cy_20854528.opus,gobeithio,cy
gobeithio/common_voice_cy_18998691.opus,gobeithio,cy
gobeithio/common_voice_cy_18187169.opus,gobeithio,cy
gobeithio/common_voice_cy_21479759.opus,gobeithio,cy
gobeithio/common_voice_cy_19294942.opus,gobeithio,cy
gobeithio/common_voice_cy_18110538.opus,gobeithio,cy
gobeithio/common_voice_cy_19307533.opus,gobeithio,cy
gobeithio/common_voice_cy_18992367.opus,gobeithio,cy
gobeithio/common_voice_cy_17986285.opus,gobeithio,cy
gobeithio/common_voice_cy_18061074.opus,gobeithio,cy
gobeithio/common_voice_cy_18138382.opus,gobeithio,cy
gobeithio/common_voice_cy_18056663.opus,gobeithio,cy
gobeithio/common_voice_cy_21052476.opus,gobeithio,cy
gobeithio/common_voice_cy_18127195.opus,gobeithio,cy
gobeithio/common_voice_cy_18954120.opus,gobeithio,cy
gobeithio/common_voice_cy_19515294.opus,gobeithio,cy
gobeithio/common_voice_cy_20479835.opus,gobeithio,cy
gobeithio/common_voice_cy_19051652.opus,gobeithio,cy
gobeithio/common_voice_cy_19013178.opus,gobeithio,cy
gobeithio/common_voice_cy_18189747.opus,gobeithio,cy
gobeithio/common_voice_cy_18138745.opus,gobeithio,cy
gobeithio/common_voice_cy_18138673.opus,gobeithio,cy
gobeithio/common_voice_cy_20373446.opus,gobeithio,cy
gobeithio/common_voice_cy_21252509.opus,gobeithio,cy
gobeithio/common_voice_cy_21561873.opus,gobeithio,cy
gobeithio/common_voice_cy_18116052.opus,gobeithio,cy
gobeithio/common_voice_cy_18186654.opus,gobeithio,cy
gobeithio/common_voice_cy_21125591.opus,gobeithio,cy
gobeithio/common_voice_cy_17827038.opus,gobeithio,cy
gobeithio/common_voice_cy_17678318.opus,gobeithio,cy
gobeithio/common_voice_cy_19322475.opus,gobeithio,cy
gobeithio/common_voice_cy_19386381.opus,gobeithio,cy
gobeithio/common_voice_cy_18056693.opus,gobeithio,cy
