LINK,WORD,LANGUAGE
demandis/common_voice_eo_19876716.opus,demandis,eo
demandis/common_voice_eo_20515778.opus,demandis,eo
demandis/common_voice_eo_19619947.opus,demandis,eo
demandis/common_voice_eo_20189290.opus,demandis,eo
demandis/common_voice_eo_17961055.opus,demandis,eo
demandis/common_voice_eo_19859994.opus,demandis,eo
demandis/common_voice_eo_20483492.opus,demandis,eo
demandis/common_voice_eo_20103210.opus,demandis,eo
demandis/common_voice_eo_19543532.opus,demandis,eo
demandis/common_voice_eo_20210775.opus,demandis,eo
demandis/common_voice_eo_20319458.opus,demandis,eo
demandis/common_voice_eo_20210836.opus,demandis,eo
demandis/common_voice_eo_19668352.opus,demandis,eo
demandis/common_voice_eo_20501970.opus,demandis,eo
demandis/common_voice_eo_21137539.opus,demandis,eo
demandis/common_voice_eo_20255333.opus,demandis,eo
demandis/common_voice_eo_19820646.opus,demandis,eo
demandis/common_voice_eo_20466189.opus,demandis,eo
demandis/common_voice_eo_20267435.opus,demandis,eo
demandis/common_voice_eo_20264973.opus,demandis,eo
demandis/common_voice_eo_20209592.opus,demandis,eo
demandis/common_voice_eo_20255152.opus,demandis,eo
demandis/common_voice_eo_21349464.opus,demandis,eo
demandis/common_voice_eo_19870735.opus,demandis,eo
demandis/common_voice_eo_19491170.opus,demandis,eo
demandis/common_voice_eo_20188945.opus,demandis,eo
demandis/common_voice_eo_19781688.opus,demandis,eo
demandis/common_voice_eo_20502073.opus,demandis,eo
demandis/common_voice_eo_20341867.opus,demandis,eo
demandis/common_voice_eo_19820695.opus,demandis,eo
demandis/common_voice_eo_20483581.opus,demandis,eo
demandis/common_voice_eo_19827184.opus,demandis,eo
demandis/common_voice_eo_20490070.opus,demandis,eo
demandis/common_voice_eo_20477416.opus,demandis,eo
demandis/common_voice_eo_19793242.opus,demandis,eo
demandis/common_voice_eo_19887322.opus,demandis,eo
demandis/common_voice_eo_20467249.opus,demandis,eo
demandis/common_voice_eo_21179318.opus,demandis,eo
demandis/common_voice_eo_19773154.opus,demandis,eo
demandis/common_voice_eo_19329368.opus,demandis,eo
demandis/common_voice_eo_19781609.opus,demandis,eo
demandis/common_voice_eo_19826898.opus,demandis,eo
demandis/common_voice_eo_20237514.opus,demandis,eo
demandis/common_voice_eo_20462158.opus,demandis,eo
demandis/common_voice_eo_20446453.opus,demandis,eo
demandis/common_voice_eo_19827030.opus,demandis,eo
demandis/common_voice_eo_19780557.opus,demandis,eo
demandis/common_voice_eo_19860878.opus,demandis,eo
demandis/common_voice_eo_19712818.opus,demandis,eo
demandis/common_voice_eo_20450087.opus,demandis,eo
demandis/common_voice_eo_20470945.opus,demandis,eo
demandis/common_voice_eo_20512039.opus,demandis,eo
demandis/common_voice_eo_20504854.opus,demandis,eo
demandis/common_voice_eo_20223909.opus,demandis,eo
demandis/common_voice_eo_19826895.opus,demandis,eo
demandis/common_voice_eo_20189228.opus,demandis,eo
demandis/common_voice_eo_20474385.opus,demandis,eo
demandis/common_voice_eo_18592260.opus,demandis,eo
demandis/common_voice_eo_20464246.opus,demandis,eo
demandis/common_voice_eo_19729682.opus,demandis,eo
