LINK,WORD,LANGUAGE
comunicación/common_voice_es_19842570.opus,comunicación,es
comunicación/common_voice_es_19667551.opus,comunicación,es
comunicación/common_voice_es_19905924.opus,comunicación,es
comunicación/common_voice_es_19467293.opus,comunicación,es
comunicación/common_voice_es_20659817.opus,comunicación,es
comunicación/common_voice_es_19631487.opus,comunicación,es
comunicación/common_voice_es_20714093.opus,comunicación,es
comunicación/common_voice_es_20714178.opus,comunicación,es
comunicación/common_voice_es_20480384.opus,comunicación,es
comunicación/common_voice_es_20059096.opus,comunicación,es
comunicación/common_voice_es_20050479.opus,comunicación,es
comunicación/common_voice_es_20329085.opus,comunicación,es
comunicación/common_voice_es_20218847.opus,comunicación,es
comunicación/common_voice_es_20269493.opus,comunicación,es
comunicación/common_voice_es_20626929.opus,comunicación,es
comunicación/common_voice_es_20744497.opus,comunicación,es
comunicación/common_voice_es_20808746.opus,comunicación,es
comunicación/common_voice_es_20514241.opus,comunicación,es
comunicación/common_voice_es_19964152.opus,comunicación,es
comunicación/common_voice_es_20234943.opus,comunicación,es
comunicación/common_voice_es_19656133.opus,comunicación,es
comunicación/common_voice_es_20462973.opus,comunicación,es
comunicación/common_voice_es_20479806.opus,comunicación,es
comunicación/common_voice_es_20497736.opus,comunicación,es
comunicación/common_voice_es_19668433.opus,comunicación,es
comunicación/common_voice_es_20823585.opus,comunicación,es
comunicación/common_voice_es_20868663.opus,comunicación,es
comunicación/common_voice_es_20901832.opus,comunicación,es
comunicación/common_voice_es_19671221.opus,comunicación,es
comunicación/common_voice_es_19174865.opus,comunicación,es
comunicación/common_voice_es_19746631.opus,comunicación,es
comunicación/common_voice_es_20026518.opus,comunicación,es
comunicación/common_voice_es_19980001.opus,comunicación,es
comunicación/common_voice_es_19950670.opus,comunicación,es
comunicación/common_voice_es_19513909.opus,comunicación,es
comunicación/common_voice_es_20898240.opus,comunicación,es
comunicación/common_voice_es_19710322.opus,comunicación,es
comunicación/common_voice_es_20592670.opus,comunicación,es
comunicación/common_voice_es_19668918.opus,comunicación,es
comunicación/common_voice_es_19138625.opus,comunicación,es
comunicación/common_voice_es_20569755.opus,comunicación,es
comunicación/common_voice_es_19336301.opus,comunicación,es
comunicación/common_voice_es_20627973.opus,comunicación,es
comunicación/common_voice_es_19947111.opus,comunicación,es
comunicación/common_voice_es_20936495.opus,comunicación,es
comunicación/common_voice_es_20764162.opus,comunicación,es
comunicación/common_voice_es_19724761.opus,comunicación,es
comunicación/common_voice_es_19631244.opus,comunicación,es
comunicación/common_voice_es_19815696.opus,comunicación,es
comunicación/common_voice_es_20630588.opus,comunicación,es
comunicación/common_voice_es_20903634.opus,comunicación,es
comunicación/common_voice_es_20700902.opus,comunicación,es
comunicación/common_voice_es_19792887.opus,comunicación,es
comunicación/common_voice_es_19698134.opus,comunicación,es
comunicación/common_voice_es_20601920.opus,comunicación,es
comunicación/common_voice_es_19959004.opus,comunicación,es
comunicación/common_voice_es_20177661.opus,comunicación,es
comunicación/common_voice_es_19628669.opus,comunicación,es
comunicación/common_voice_es_19670511.opus,comunicación,es
comunicación/common_voice_es_20701476.opus,comunicación,es
comunicación/common_voice_es_19753754.opus,comunicación,es
comunicación/common_voice_es_19865114.opus,comunicación,es
