LINK,WORD,LANGUAGE
bakarrik/common_voice_eu_18763475.opus,bakarrik,eu
bakarrik/common_voice_eu_18726604.opus,bakarrik,eu
bakarrik/common_voice_eu_18800836.opus,bakarrik,eu
bakarrik/common_voice_eu_18803845.opus,bakarrik,eu
bakarrik/common_voice_eu_18823589.opus,bakarrik,eu
bakarrik/common_voice_eu_18790943.opus,bakarrik,eu
bakarrik/common_voice_eu_18822491.opus,bakarrik,eu
bakarrik/common_voice_eu_18575661.opus,bakarrik,eu
bakarrik/common_voice_eu_18764652.opus,bakarrik,eu
bakarrik/common_voice_eu_18572887.opus,bakarrik,eu
bakarrik/common_voice_eu_18777053.opus,bakarrik,eu
bakarrik/common_voice_eu_18264700.opus,bakarrik,eu
bakarrik/common_voice_eu_18535066.opus,bakarrik,eu
bakarrik/common_voice_eu_18760070.opus,bakarrik,eu
bakarrik/common_voice_eu_18682081.opus,bakarrik,eu
bakarrik/common_voice_eu_18689291.opus,bakarrik,eu
bakarrik/common_voice_eu_21785272.opus,bakarrik,eu
bakarrik/common_voice_eu_18695214.opus,bakarrik,eu
bakarrik/common_voice_eu_21754752.opus,bakarrik,eu
bakarrik/common_voice_eu_18528403.opus,bakarrik,eu
bakarrik/common_voice_eu_18334779.opus,bakarrik,eu
bakarrik/common_voice_eu_21653896.opus,bakarrik,eu
bakarrik/common_voice_eu_18787304.opus,bakarrik,eu
bakarrik/common_voice_eu_18574451.opus,bakarrik,eu
bakarrik/common_voice_eu_18572845.opus,bakarrik,eu
bakarrik/common_voice_eu_18774372.opus,bakarrik,eu
bakarrik/common_voice_eu_18603165.opus,bakarrik,eu
bakarrik/common_voice_eu_18809414.opus,bakarrik,eu
bakarrik/common_voice_eu_18688916.opus,bakarrik,eu
bakarrik/common_voice_eu_19230255.opus,bakarrik,eu
bakarrik/common_voice_eu_18826142.opus,bakarrik,eu
bakarrik/common_voice_eu_18327767.opus,bakarrik,eu
bakarrik/common_voice_eu_18761620.opus,bakarrik,eu
bakarrik/common_voice_eu_21749404.opus,bakarrik,eu
bakarrik/common_voice_eu_18766985.opus,bakarrik,eu
bakarrik/common_voice_eu_18428162.opus,bakarrik,eu
bakarrik/common_voice_eu_21736424.opus,bakarrik,eu
bakarrik/common_voice_eu_18823567.opus,bakarrik,eu
bakarrik/common_voice_eu_18715688.opus,bakarrik,eu
bakarrik/common_voice_eu_18801166.opus,bakarrik,eu
bakarrik/common_voice_eu_18535047.opus,bakarrik,eu
bakarrik/common_voice_eu_18711288.opus,bakarrik,eu
bakarrik/common_voice_eu_19418532.opus,bakarrik,eu
bakarrik/common_voice_eu_18707077.opus,bakarrik,eu
bakarrik/common_voice_eu_18558465.opus,bakarrik,eu
bakarrik/common_voice_eu_18777580.opus,bakarrik,eu
bakarrik/common_voice_eu_18712530.opus,bakarrik,eu
bakarrik/common_voice_eu_18831226.opus,bakarrik,eu
bakarrik/common_voice_eu_18574118.opus,bakarrik,eu
bakarrik/common_voice_eu_18549037.opus,bakarrik,eu
bakarrik/common_voice_eu_18359414.opus,bakarrik,eu
bakarrik/common_voice_eu_18695665.opus,bakarrik,eu
bakarrik/common_voice_eu_18800874.opus,bakarrik,eu
bakarrik/common_voice_eu_18759931.opus,bakarrik,eu
bakarrik/common_voice_eu_18544858.opus,bakarrik,eu
bakarrik/common_voice_eu_18747767.opus,bakarrik,eu
bakarrik/common_voice_eu_18554216.opus,bakarrik,eu
bakarrik/common_voice_eu_18769695.opus,bakarrik,eu
bakarrik/common_voice_eu_18629064.opus,bakarrik,eu
bakarrik/common_voice_eu_18676189.opus,bakarrik,eu
bakarrik/common_voice_eu_18610084.opus,bakarrik,eu
bakarrik/common_voice_eu_18758860.opus,bakarrik,eu
bakarrik/common_voice_eu_18779939.opus,bakarrik,eu
bakarrik/common_voice_eu_18647464.opus,bakarrik,eu
bakarrik/common_voice_eu_18565536.opus,bakarrik,eu
bakarrik/common_voice_eu_19132252.opus,bakarrik,eu
bakarrik/common_voice_eu_18543755.opus,bakarrik,eu
bakarrik/common_voice_eu_18727364.opus,bakarrik,eu
bakarrik/common_voice_eu_18759972.opus,bakarrik,eu
bakarrik/common_voice_eu_19446466.opus,bakarrik,eu
bakarrik/common_voice_eu_18288833.opus,bakarrik,eu
bakarrik/common_voice_eu_18715981.opus,bakarrik,eu
bakarrik/common_voice_eu_21377023.opus,bakarrik,eu
bakarrik/common_voice_eu_18768893.opus,bakarrik,eu
bakarrik/common_voice_eu_18564888.opus,bakarrik,eu
bakarrik/common_voice_eu_18813760.opus,bakarrik,eu
bakarrik/common_voice_eu_18565185.opus,bakarrik,eu
bakarrik/common_voice_eu_18282964.opus,bakarrik,eu
bakarrik/common_voice_eu_18564877.opus,bakarrik,eu
bakarrik/common_voice_eu_21734020.opus,bakarrik,eu
bakarrik/common_voice_eu_18264601.opus,bakarrik,eu
bakarrik/common_voice_eu_18777679.opus,bakarrik,eu
bakarrik/common_voice_eu_18643139.opus,bakarrik,eu
bakarrik/common_voice_eu_21661367.opus,bakarrik,eu
bakarrik/common_voice_eu_18790939.opus,bakarrik,eu
bakarrik/common_voice_eu_18632350.opus,bakarrik,eu
bakarrik/common_voice_eu_21587924.opus,bakarrik,eu
bakarrik/common_voice_eu_18573197.opus,bakarrik,eu
bakarrik/common_voice_eu_18770069.opus,bakarrik,eu
bakarrik/common_voice_eu_18709869.opus,bakarrik,eu
bakarrik/common_voice_eu_18674764.opus,bakarrik,eu
bakarrik/common_voice_eu_18505451.opus,bakarrik,eu
bakarrik/common_voice_eu_19412845.opus,bakarrik,eu
bakarrik/common_voice_eu_18614979.opus,bakarrik,eu
bakarrik/common_voice_eu_18795825.opus,bakarrik,eu
bakarrik/common_voice_eu_18779009.opus,bakarrik,eu
bakarrik/common_voice_eu_21754713.opus,bakarrik,eu
bakarrik/common_voice_eu_18975435.opus,bakarrik,eu
bakarrik/common_voice_eu_21653377.opus,bakarrik,eu
bakarrik/common_voice_eu_18655138.opus,bakarrik,eu
bakarrik/common_voice_eu_18727086.opus,bakarrik,eu
bakarrik/common_voice_eu_18764858.opus,bakarrik,eu
bakarrik/common_voice_eu_18260548.opus,bakarrik,eu
bakarrik/common_voice_eu_18254949.opus,bakarrik,eu
bakarrik/common_voice_eu_18682677.opus,bakarrik,eu
bakarrik/common_voice_eu_18531110.opus,bakarrik,eu
bakarrik/common_voice_eu_18767658.opus,bakarrik,eu
bakarrik/common_voice_eu_19015717.opus,bakarrik,eu
bakarrik/common_voice_eu_18637889.opus,bakarrik,eu
