LINK,WORD,LANGUAGE
میخواستم/common_voice_fa_19360652.opus,میخواستم,fa
میخواستم/common_voice_fa_20491652.opus,میخواستم,fa
میخواستم/common_voice_fa_19796229.opus,میخواستم,fa
میخواستم/common_voice_fa_19878924.opus,میخواستم,fa
میخواستم/common_voice_fa_19282300.opus,میخواستم,fa
میخواستم/common_voice_fa_18635678.opus,میخواستم,fa
میخواستم/common_voice_fa_19382304.opus,میخواستم,fa
میخواستم/common_voice_fa_20047321.opus,میخواستم,fa
میخواستم/common_voice_fa_18626030.opus,میخواستم,fa
میخواستم/common_voice_fa_19591095.opus,میخواستم,fa
میخواستم/common_voice_fa_19451460.opus,میخواستم,fa
میخواستم/common_voice_fa_20121014.opus,میخواستم,fa
میخواستم/common_voice_fa_19296724.opus,میخواستم,fa
میخواستم/common_voice_fa_19231148.opus,میخواستم,fa
میخواستم/common_voice_fa_20935286.opus,میخواستم,fa
میخواستم/common_voice_fa_18785145.opus,میخواستم,fa
میخواستم/common_voice_fa_19358198.opus,میخواستم,fa
میخواستم/common_voice_fa_19396549.opus,میخواستم,fa
میخواستم/common_voice_fa_20138081.opus,میخواستم,fa
میخواستم/common_voice_fa_19550419.opus,میخواستم,fa
میخواستم/common_voice_fa_19349922.opus,میخواستم,fa
میخواستم/common_voice_fa_20395834.opus,میخواستم,fa
میخواستم/common_voice_fa_19175097.opus,میخواستم,fa
میخواستم/common_voice_fa_20977629.opus,میخواستم,fa
میخواستم/common_voice_fa_20115455.opus,میخواستم,fa
میخواستم/common_voice_fa_19272392.opus,میخواستم,fa
میخواستم/common_voice_fa_19891899.opus,میخواستم,fa
میخواستم/common_voice_fa_20443045.opus,میخواستم,fa
میخواستم/common_voice_fa_19878819.opus,میخواستم,fa
میخواستم/common_voice_fa_20127821.opus,میخواستم,fa
میخواستم/common_voice_fa_19558462.opus,میخواستم,fa
میخواستم/common_voice_fa_19554593.opus,میخواستم,fa
میخواستم/common_voice_fa_18611438.opus,میخواستم,fa
میخواستم/common_voice_fa_19334898.opus,میخواستم,fa
میخواستم/common_voice_fa_19333578.opus,میخواستم,fa
میخواستم/common_voice_fa_18624667.opus,میخواستم,fa
میخواستم/common_voice_fa_20152380.opus,میخواستم,fa
میخواستم/common_voice_fa_20094749.opus,میخواستم,fa
میخواستم/common_voice_fa_19866178.opus,میخواستم,fa
میخواستم/common_voice_fa_19432828.opus,میخواستم,fa
میخواستم/common_voice_fa_20584305.opus,میخواستم,fa
میخواستم/common_voice_fa_19111746.opus,میخواستم,fa
میخواستم/common_voice_fa_19888506.opus,میخواستم,fa
میخواستم/common_voice_fa_19459749.opus,میخواستم,fa
میخواستم/common_voice_fa_19288227.opus,میخواستم,fa
میخواستم/common_voice_fa_19558823.opus,میخواستم,fa
میخواستم/common_voice_fa_18796407.opus,میخواستم,fa
میخواستم/common_voice_fa_19292539.opus,میخواستم,fa
میخواستم/common_voice_fa_20212742.opus,میخواستم,fa
میخواستم/common_voice_fa_19326901.opus,میخواستم,fa
میخواستم/common_voice_fa_18611792.opus,میخواستم,fa
میخواستم/common_voice_fa_19558523.opus,میخواستم,fa
میخواستم/common_voice_fa_19890909.opus,میخواستم,fa
میخواستم/common_voice_fa_19276743.opus,میخواستم,fa
میخواستم/common_voice_fa_20096458.opus,میخواستم,fa
میخواستم/common_voice_fa_19884686.opus,میخواستم,fa
میخواستم/common_voice_fa_19576841.opus,میخواستم,fa
میخواستم/common_voice_fa_20099570.opus,میخواستم,fa
میخواستم/common_voice_fa_20139618.opus,میخواستم,fa
میخواستم/common_voice_fa_20135048.opus,میخواستم,fa
میخواستم/common_voice_fa_19345977.opus,میخواستم,fa
میخواستم/common_voice_fa_19772881.opus,میخواستم,fa
میخواستم/common_voice_fa_20028787.opus,میخواستم,fa
میخواستم/common_voice_fa_19348488.opus,میخواستم,fa
میخواستم/common_voice_fa_19218622.opus,میخواستم,fa
میخواستم/common_voice_fa_20942508.opus,میخواستم,fa
میخواستم/common_voice_fa_19900126.opus,میخواستم,fa
میخواستم/common_voice_fa_20422856.opus,میخواستم,fa
میخواستم/common_voice_fa_19218631.opus,میخواستم,fa
میخواستم/common_voice_fa_20099854.opus,میخواستم,fa
میخواستم/common_voice_fa_19901805.opus,میخواستم,fa
میخواستم/common_voice_fa_19900729.opus,میخواستم,fa
میخواستم/common_voice_fa_20182887.opus,میخواستم,fa
میخواستم/common_voice_fa_20058706.opus,میخواستم,fa
میخواستم/common_voice_fa_19890044.opus,میخواستم,fa
میخواستم/common_voice_fa_20145397.opus,میخواستم,fa
میخواستم/common_voice_fa_20134116.opus,میخواستم,fa
میخواستم/common_voice_fa_20154410.opus,میخواستم,fa
میخواستم/common_voice_fa_19212329.opus,میخواستم,fa
میخواستم/common_voice_fa_19902117.opus,میخواستم,fa
میخواستم/common_voice_fa_19889093.opus,میخواستم,fa
میخواستم/common_voice_fa_19469362.opus,میخواستم,fa
میخواستم/common_voice_fa_20165811.opus,میخواستم,fa
میخواستم/common_voice_fa_19302603.opus,میخواستم,fa
میخواستم/common_voice_fa_20107926.opus,میخواستم,fa
میخواستم/common_voice_fa_19578580.opus,میخواستم,fa
میخواستم/common_voice_fa_20375932.opus,میخواستم,fa
میخواستم/common_voice_fa_19176003.opus,میخواستم,fa
میخواستم/common_voice_fa_19309842.opus,میخواستم,fa
میخواستم/common_voice_fa_20083879.opus,میخواستم,fa
میخواستم/common_voice_fa_20094767.opus,میخواستم,fa
میخواستم/common_voice_fa_19866411.opus,میخواستم,fa
میخواستم/common_voice_fa_20382710.opus,میخواستم,fa
میخواستم/common_voice_fa_18557509.opus,میخواستم,fa
میخواستم/common_voice_fa_19318428.opus,میخواستم,fa
میخواستم/common_voice_fa_20377134.opus,میخواستم,fa
میخواستم/common_voice_fa_19356088.opus,میخواستم,fa
میخواستم/common_voice_fa_19543864.opus,میخواستم,fa
میخواستم/common_voice_fa_19890137.opus,میخواستم,fa
میخواستم/common_voice_fa_18609942.opus,میخواستم,fa
میخواستم/common_voice_fa_21579581.opus,میخواستم,fa
میخواستم/common_voice_fa_20395536.opus,میخواستم,fa
میخواستم/common_voice_fa_19890433.opus,میخواستم,fa
میخواستم/common_voice_fa_19289111.opus,میخواستم,fa
میخواستم/common_voice_fa_20028118.opus,میخواستم,fa
میخواستم/common_voice_fa_19434812.opus,میخواستم,fa
میخواستم/common_voice_fa_20321568.opus,میخواستم,fa
میخواستم/common_voice_fa_20218497.opus,میخواستم,fa
میخواستم/common_voice_fa_20942497.opus,میخواستم,fa
میخواستم/common_voice_fa_19888313.opus,میخواستم,fa
میخواستم/common_voice_fa_19902901.opus,میخواستم,fa
میخواستم/common_voice_fa_19770207.opus,میخواستم,fa
میخواستم/common_voice_fa_20941457.opus,میخواستم,fa
میخواستم/common_voice_fa_19501184.opus,میخواستم,fa
میخواستم/common_voice_fa_19433339.opus,میخواستم,fa
میخواستم/common_voice_fa_20032997.opus,میخواستم,fa
میخواستم/common_voice_fa_19297844.opus,میخواستم,fa
میخواستم/common_voice_fa_18570091.opus,میخواستم,fa
میخواستم/common_voice_fa_19279789.opus,میخواستم,fa
میخواستم/common_voice_fa_19265581.opus,میخواستم,fa
میخواستم/common_voice_fa_20442915.opus,میخواستم,fa
میخواستم/common_voice_fa_20033851.opus,میخواستم,fa
میخواستم/common_voice_fa_19289712.opus,میخواستم,fa
میخواستم/common_voice_fa_19408735.opus,میخواستم,fa
میخواستم/common_voice_fa_20032909.opus,میخواستم,fa
میخواستم/common_voice_fa_19246789.opus,میخواستم,fa
میخواستم/common_voice_fa_19111883.opus,میخواستم,fa
میخواستم/common_voice_fa_19304323.opus,میخواستم,fa
میخواستم/common_voice_fa_19899836.opus,میخواستم,fa
میخواستم/common_voice_fa_19501053.opus,میخواستم,fa
میخواستم/common_voice_fa_19387910.opus,میخواستم,fa
میخواستم/common_voice_fa_20156841.opus,میخواستم,fa
میخواستم/common_voice_fa_19286932.opus,میخواستم,fa
میخواستم/common_voice_fa_19309976.opus,میخواستم,fa
میخواستم/common_voice_fa_19387066.opus,میخواستم,fa
میخواستم/common_voice_fa_19423276.opus,میخواستم,fa
میخواستم/common_voice_fa_20375291.opus,میخواستم,fa
میخواستم/common_voice_fa_20395700.opus,میخواستم,fa
میخواستم/common_voice_fa_20871717.opus,میخواستم,fa
میخواستم/common_voice_fa_20278092.opus,میخواستم,fa
میخواستم/common_voice_fa_20093513.opus,میخواستم,fa
میخواستم/common_voice_fa_21315909.opus,میخواستم,fa
میخواستم/common_voice_fa_20150438.opus,میخواستم,fa
میخواستم/common_voice_fa_19874470.opus,میخواستم,fa
میخواستم/common_voice_fa_19996018.opus,میخواستم,fa
میخواستم/common_voice_fa_20096828.opus,میخواستم,fa
میخواستم/common_voice_fa_19882733.opus,میخواستم,fa
میخواستم/common_voice_fa_19459881.opus,میخواستم,fa
میخواستم/common_voice_fa_20082636.opus,میخواستم,fa
میخواستم/common_voice_fa_18569111.opus,میخواستم,fa
