LINK,WORD,LANGUAGE
gezien/common_voice_nl_18820911.opus,gezien,nl
gezien/common_voice_nl_18368375.opus,gezien,nl
gezien/common_voice_nl_18736180.opus,gezien,nl
gezien/common_voice_nl_20570859.opus,gezien,nl
gezien/common_voice_nl_17703322.opus,gezien,nl
gezien/common_voice_nl_20217712.opus,gezien,nl
gezien/common_voice_nl_20533816.opus,gezien,nl
gezien/common_voice_nl_18258861.opus,gezien,nl
gezien/common_voice_nl_17721358.opus,gezien,nl
gezien/common_voice_nl_18601084.opus,gezien,nl
gezien/common_voice_nl_20246256.opus,gezien,nl
gezien/common_voice_nl_20259263.opus,gezien,nl
gezien/common_voice_nl_17706850.opus,gezien,nl
gezien/common_voice_nl_20960934.opus,gezien,nl
gezien/common_voice_nl_17710419.opus,gezien,nl
gezien/common_voice_nl_18639116.opus,gezien,nl
gezien/common_voice_nl_17712709.opus,gezien,nl
gezien/common_voice_nl_20538175.opus,gezien,nl
gezien/common_voice_nl_20571606.opus,gezien,nl
gezien/common_voice_nl_20320717.opus,gezien,nl
gezien/common_voice_nl_22107708.opus,gezien,nl
gezien/common_voice_nl_18839120.opus,gezien,nl
gezien/common_voice_nl_17708097.opus,gezien,nl
gezien/common_voice_nl_17869079.opus,gezien,nl
gezien/common_voice_nl_17878567.opus,gezien,nl
gezien/common_voice_nl_21829258.opus,gezien,nl
gezien/common_voice_nl_19283635.opus,gezien,nl
gezien/common_voice_nl_22148902.opus,gezien,nl
gezien/common_voice_nl_18259563.opus,gezien,nl
gezien/common_voice_nl_17750051.opus,gezien,nl
gezien/common_voice_nl_18990609.opus,gezien,nl
gezien/common_voice_nl_20224361.opus,gezien,nl
gezien/common_voice_nl_20215512.opus,gezien,nl
gezien/common_voice_nl_17787793.opus,gezien,nl
gezien/common_voice_nl_21400952.opus,gezien,nl
gezien/common_voice_nl_21104745.opus,gezien,nl
gezien/common_voice_nl_17696223.opus,gezien,nl
gezien/common_voice_nl_19715078.opus,gezien,nl
gezien/common_voice_nl_20571592.opus,gezien,nl
gezien/common_voice_nl_18873115.opus,gezien,nl
gezien/common_voice_nl_18955529.opus,gezien,nl
gezien/common_voice_nl_21105784.opus,gezien,nl
gezien/common_voice_nl_17723111.opus,gezien,nl
gezien/common_voice_nl_18818904.opus,gezien,nl
gezien/common_voice_nl_21433881.opus,gezien,nl
gezien/common_voice_nl_20230869.opus,gezien,nl
gezien/common_voice_nl_20242917.opus,gezien,nl
gezien/common_voice_nl_21267063.opus,gezien,nl
gezien/common_voice_nl_20527201.opus,gezien,nl
gezien/common_voice_nl_20929934.opus,gezien,nl
gezien/common_voice_nl_17699709.opus,gezien,nl
gezien/common_voice_nl_18301403.opus,gezien,nl
gezien/common_voice_nl_20259608.opus,gezien,nl
gezien/common_voice_nl_20273132.opus,gezien,nl
gezien/common_voice_nl_22452108.opus,gezien,nl
gezien/common_voice_nl_20545123.opus,gezien,nl
gezien/common_voice_nl_18826683.opus,gezien,nl
gezien/common_voice_nl_17863907.opus,gezien,nl
gezien/common_voice_nl_17740778.opus,gezien,nl
gezien/common_voice_nl_20717788.opus,gezien,nl
gezien/common_voice_nl_17728301.opus,gezien,nl
gezien/common_voice_nl_19219750.opus,gezien,nl
gezien/common_voice_nl_19510012.opus,gezien,nl
gezien/common_voice_nl_19065002.opus,gezien,nl
gezien/common_voice_nl_18820098.opus,gezien,nl
gezien/common_voice_nl_17713210.opus,gezien,nl
gezien/common_voice_nl_21275822.opus,gezien,nl
gezien/common_voice_nl_20223656.opus,gezien,nl
gezien/common_voice_nl_22110118.opus,gezien,nl
