LINK,WORD,LANGUAGE
enquanto/common_voice_pt_20682013.opus,enquanto,pt
enquanto/common_voice_pt_20683408.opus,enquanto,pt
enquanto/common_voice_pt_19403686.opus,enquanto,pt
enquanto/common_voice_pt_19485162.opus,enquanto,pt
enquanto/common_voice_pt_19581770.opus,enquanto,pt
enquanto/common_voice_pt_21926188.opus,enquanto,pt
enquanto/common_voice_pt_20438859.opus,enquanto,pt
enquanto/common_voice_pt_20063601.opus,enquanto,pt
enquanto/common_voice_pt_20840785.opus,enquanto,pt
enquanto/common_voice_pt_19741031.opus,enquanto,pt
enquanto/common_voice_pt_19727336.opus,enquanto,pt
enquanto/common_voice_pt_20483846.opus,enquanto,pt
enquanto/common_voice_pt_20681283.opus,enquanto,pt
enquanto/common_voice_pt_19400817.opus,enquanto,pt
enquanto/common_voice_pt_19798086.opus,enquanto,pt
enquanto/common_voice_pt_19347147.opus,enquanto,pt
enquanto/common_voice_pt_19284286.opus,enquanto,pt
enquanto/common_voice_pt_19485103.opus,enquanto,pt
enquanto/common_voice_pt_19715707.opus,enquanto,pt
enquanto/common_voice_pt_20063559.opus,enquanto,pt
enquanto/common_voice_pt_19442144.opus,enquanto,pt
enquanto/common_voice_pt_19317844.opus,enquanto,pt
enquanto/common_voice_pt_19455605.opus,enquanto,pt
enquanto/common_voice_pt_19484612.opus,enquanto,pt
enquanto/common_voice_pt_22435296.opus,enquanto,pt
enquanto/common_voice_pt_19284274.opus,enquanto,pt
enquanto/common_voice_pt_21798026.opus,enquanto,pt
enquanto/common_voice_pt_20218346.opus,enquanto,pt
enquanto/common_voice_pt_19564769.opus,enquanto,pt
enquanto/common_voice_pt_19594491.opus,enquanto,pt
enquanto/common_voice_pt_19433318.opus,enquanto,pt
enquanto/common_voice_pt_19307852.opus,enquanto,pt
enquanto/common_voice_pt_19401470.opus,enquanto,pt
enquanto/common_voice_pt_22379790.opus,enquanto,pt
enquanto/common_voice_pt_19573508.opus,enquanto,pt
enquanto/common_voice_pt_20439068.opus,enquanto,pt
enquanto/common_voice_pt_20739301.opus,enquanto,pt
enquanto/common_voice_pt_20378781.opus,enquanto,pt
enquanto/common_voice_pt_19576638.opus,enquanto,pt
enquanto/common_voice_pt_19498837.opus,enquanto,pt
enquanto/common_voice_pt_19459157.opus,enquanto,pt
enquanto/common_voice_pt_19435422.opus,enquanto,pt
enquanto/common_voice_pt_19564643.opus,enquanto,pt
enquanto/common_voice_pt_20703813.opus,enquanto,pt
enquanto/common_voice_pt_20080884.opus,enquanto,pt
enquanto/common_voice_pt_19455500.opus,enquanto,pt
enquanto/common_voice_pt_19573509.opus,enquanto,pt
enquanto/common_voice_pt_20647694.opus,enquanto,pt
enquanto/common_voice_pt_19422195.opus,enquanto,pt
enquanto/common_voice_pt_19505201.opus,enquanto,pt
enquanto/common_voice_pt_22449440.opus,enquanto,pt
enquanto/common_voice_pt_21240413.opus,enquanto,pt
enquanto/common_voice_pt_19523414.opus,enquanto,pt
enquanto/common_voice_pt_19802235.opus,enquanto,pt
enquanto/common_voice_pt_20833955.opus,enquanto,pt
enquanto/common_voice_pt_20080958.opus,enquanto,pt
enquanto/common_voice_pt_20678650.opus,enquanto,pt
enquanto/common_voice_pt_20832941.opus,enquanto,pt
enquanto/common_voice_pt_20639462.opus,enquanto,pt
enquanto/common_voice_pt_19367762.opus,enquanto,pt
enquanto/common_voice_pt_19597155.opus,enquanto,pt
enquanto/common_voice_pt_19409638.opus,enquanto,pt
enquanto/common_voice_pt_19573433.opus,enquanto,pt
enquanto/common_voice_pt_19459673.opus,enquanto,pt
enquanto/common_voice_pt_20432075.opus,enquanto,pt
enquanto/common_voice_pt_19403775.opus,enquanto,pt
enquanto/common_voice_pt_19826738.opus,enquanto,pt
enquanto/common_voice_pt_22442997.opus,enquanto,pt
enquanto/common_voice_pt_20481686.opus,enquanto,pt
enquanto/common_voice_pt_19422047.opus,enquanto,pt
enquanto/common_voice_pt_22013281.opus,enquanto,pt
enquanto/common_voice_pt_19540191.opus,enquanto,pt
enquanto/common_voice_pt_19364761.opus,enquanto,pt
enquanto/common_voice_pt_19416616.opus,enquanto,pt
enquanto/common_voice_pt_19564711.opus,enquanto,pt
enquanto/common_voice_pt_19564785.opus,enquanto,pt
enquanto/common_voice_pt_20473838.opus,enquanto,pt
enquanto/common_voice_pt_20464572.opus,enquanto,pt
enquanto/common_voice_pt_20682614.opus,enquanto,pt
enquanto/common_voice_pt_19401112.opus,enquanto,pt
enquanto/common_voice_pt_19586232.opus,enquanto,pt
enquanto/common_voice_pt_19442141.opus,enquanto,pt
enquanto/common_voice_pt_20448540.opus,enquanto,pt
enquanto/common_voice_pt_19588982.opus,enquanto,pt
enquanto/common_voice_pt_20788819.opus,enquanto,pt
enquanto/common_voice_pt_19551450.opus,enquanto,pt
enquanto/common_voice_pt_19838978.opus,enquanto,pt
enquanto/common_voice_pt_19459262.opus,enquanto,pt
enquanto/common_voice_pt_21371206.opus,enquanto,pt
enquanto/common_voice_pt_19589051.opus,enquanto,pt
enquanto/common_voice_pt_20866136.opus,enquanto,pt
