LINK,WORD,LANGUAGE
приверженность/common_voice_ru_19843123.opus,приверженность,ru
приверженность/common_voice_ru_20365965.opus,приверженность,ru
приверженность/common_voice_ru_19193964.opus,приверженность,ru
приверженность/common_voice_ru_20827819.opus,приверженность,ru
приверженность/common_voice_ru_19825522.opus,приверженность,ru
приверженность/common_voice_ru_18925794.opus,приверженность,ru
приверженность/common_voice_ru_18913743.opus,приверженность,ru
приверженность/common_voice_ru_19340536.opus,приверженность,ru
приверженность/common_voice_ru_21727372.opus,приверженность,ru
приверженность/common_voice_ru_19957173.opus,приверженность,ru
приверженность/common_voice_ru_21616104.opus,приверженность,ru
приверженность/common_voice_ru_18931630.opus,приверженность,ru
приверженность/common_voice_ru_20827464.opus,приверженность,ru
приверженность/common_voice_ru_19517098.opus,приверженность,ru
приверженность/common_voice_ru_18903355.opus,приверженность,ru
приверженность/common_voice_ru_20652297.opus,приверженность,ru
приверженность/common_voice_ru_20393346.opus,приверженность,ru
приверженность/common_voice_ru_20393313.opus,приверженность,ru
приверженность/common_voice_ru_20365345.opus,приверженность,ru
приверженность/common_voice_ru_18913166.opus,приверженность,ru
приверженность/common_voice_ru_21554400.opus,приверженность,ru
приверженность/common_voice_ru_20864086.opus,приверженность,ru
приверженность/common_voice_ru_18928056.opus,приверженность,ru
приверженность/common_voice_ru_18956617.opus,приверженность,ru
приверженность/common_voice_ru_19013894.opus,приверженность,ru
приверженность/common_voice_ru_18868166.opus,приверженность,ru
приверженность/common_voice_ru_20234590.opus,приверженность,ru
приверженность/common_voice_ru_19369724.opus,приверженность,ru
приверженность/common_voice_ru_20778688.opus,приверженность,ru
приверженность/common_voice_ru_19791124.opus,приверженность,ru
приверженность/common_voice_ru_18951638.opus,приверженность,ru
приверженность/common_voice_ru_20753470.opus,приверженность,ru
приверженность/common_voice_ru_20200641.opus,приверженность,ru
приверженность/common_voice_ru_20075841.opus,приверженность,ru
приверженность/common_voice_ru_18968926.opus,приверженность,ru
приверженность/common_voice_ru_19349474.opus,приверженность,ru
приверженность/common_voice_ru_21601808.opus,приверженность,ru
приверженность/common_voice_ru_18914269.opus,приверженность,ru
приверженность/common_voice_ru_19112340.opus,приверженность,ru
приверженность/common_voice_ru_19283683.opus,приверженность,ru
приверженность/common_voice_ru_20421144.opus,приверженность,ru
приверженность/common_voice_ru_21615577.opus,приверженность,ru
приверженность/common_voice_ru_21561702.opus,приверженность,ru
приверженность/common_voice_ru_21710510.opus,приверженность,ru
приверженность/common_voice_ru_21251969.opus,приверженность,ru
приверженность/common_voice_ru_20587914.opus,приверженность,ru
